adm0_iso3,adm0_name,admin_level,adm1_pcode,adm1_name,adm2_pcode,adm2_name,period_number,start_date,end_date,cropland_flooded_sq_km,cropland_flooded_ha,total_area_flooded_sq_km,total_area_flooded_ha,perc_cropland_flooded,perc_total_area_flooded,pop_exposed
PAK,Pakistan,admin2,PK72022,Sindh,PK7282022,Umer Kot,55,2026-04-01,2026-04-15,3.54,354,8.15,815,0.1844972520394334,0.13356109251142065,2663
PAK,Pakistan,admin2,PK72022,Sindh,PK7272022,Thatta,55,2026-04-01,2026-04-15,110.43,11043,1292.79,129279,5.550111587011061,15.321189340317549,81285
PAK,Pakistan,admin2,PK72022,Sindh,PK7262022,Tharparkar,55,2026-04-01,2026-04-15,7.45,745,345.27000000000004,34527,0.2163293094734279,1.5856646179481335,9445
PAK,Pakistan,admin2,PK72022,Sindh,PK7252022,Tando Muhammad Khan,55,2026-04-01,2026-04-15,13.29,1329,38.06,3806,0.9594864256856488,2.048163551556501,8029
PAK,Pakistan,admin2,PK72022,Sindh,PK7242022,Tando Allahyar,55,2026-04-01,2026-04-15,7.02,702,16.189999999999998,1619,0.6540479010345628,0.9425845041751402,3820
PAK,Pakistan,admin2,PK72022,Sindh,PK7232022,Sukkur,55,2026-04-01,2026-04-15,18.43,1843,113.84,11384,1.1120594292850376,1.9423011987058518,29527
PAK,Pakistan,admin2,PK72022,Sindh,PK7222022,Sujawal,55,2026-04-01,2026-04-15,105.74,10574,2248.58,224858,4.07226068666564,23.49503156874466,80112
PAK,Pakistan,admin2,PK72022,Sindh,PK7212022,South Karachi,55,2026-04-01,2026-04-15,0,0,26.61,2661,0,4.878709369972048,52664
PAK,Pakistan,admin2,PK72022,Sindh,PK7202022,Shikarpur,55,2026-04-01,2026-04-15,28.72,2872,80.92,8092,1.334468191302708,2.7907779925598164,20125
PAK,Pakistan,admin2,PK72022,Sindh,PK7192022,Shaheed Benazir Abad,55,2026-04-01,2026-04-15,67.77,6777,218.14999999999998,21815,2.2365903007536287,4.248399149709959,46474
PAK,Pakistan,admin2,PK72022,Sindh,PK7182022,Sanghar,55,2026-04-01,2026-04-15,62.77,6277,364.63,36463,1.5948467906457726,3.213953137938906,53043
PAK,Pakistan,admin2,PK72022,Sindh,PK7172022,Naushahro Feroze,55,2026-04-01,2026-04-15,56.74,5674,165.2,16520,2.2528536816166698,4.832886259422668,39778
PAK,Pakistan,admin2,PK72022,Sindh,PK7162022,Mirpur Khas,55,2026-04-01,2026-04-15,1.73,173,14.870000000000001,1487,0.0742274240104002,0.3946168921297965,2007
PAK,Pakistan,admin2,PK72022,Sindh,PK7152022,Matiari,55,2026-04-01,2026-04-15,22.92,2292,68.57000000000001,6857,2.0375999703804384,4.218001646109438,18870
PAK,Pakistan,admin2,PK72022,Sindh,PK7142022,Malir Karachi,55,2026-04-01,2026-04-15,2.2,220,212.76,21276,0.8895765885007403,7.034591845392867,32573
PAK,Pakistan,admin2,PK72022,Sindh,PK7132022,Larkana,55,2026-04-01,2026-04-15,12.67,1267,73.81,7381,0.8236818795442266,3.3942570329859425,18514
PAK,Pakistan,admin2,PK72022,Sindh,PK7122022,Korangi Karachi,55,2026-04-01,2026-04-15,0,0,3.6900000000000004,369,0,3.4639877071600496,4748
PAK,Pakistan,admin2,PK72022,Sindh,PK7112022,Khairpur,55,2026-04-01,2026-04-15,56.68,5668,221.14000000000001,22114,1.7668683181405969,1.2279931560929966,59462
PAK,Pakistan,admin2,PK72022,Sindh,PK7102022,Kashmore,55,2026-04-01,2026-04-15,66.39,6639,248.85,24885,3.137255883032333,8.350228410708427,45547
PAK,Pakistan,admin2,PK72022,Sindh,PK7092022,Kambar Shahdad Kot,55,2026-04-01,2026-04-15,74.23,7423,105.40000000000002,10540,2.1623287179001998,1.6618738596374565,7348
PAK,Pakistan,admin2,PK72022,Sindh,PK7082022,Jamshoro,55,2026-04-01,2026-04-15,25.12,2512,120.22999999999999,12023,1.5913223544445971,0.9602885472786725,17611
PAK,Pakistan,admin2,PK72022,Sindh,PK7072022,Jacobabad,55,2026-04-01,2026-04-15,47.86,4786,118.36,11836,1.9448957208373825,3.8613675674882426,20826
PAK,Pakistan,admin2,PK72022,Sindh,PK7062022,Hyderabad,55,2026-04-01,2026-04-15,15.85,1585,52.36,5236,3.049496801904592,4.624744283521572,139081
PAK,Pakistan,admin2,PK72022,Sindh,PK7052022,Ghotki,55,2026-04-01,2026-04-15,32.4,3240,159.99,15999,1.045627371613741,2.213808536634164,16934
PAK,Pakistan,admin2,PK72022,Sindh,PK7032022,Dadu,55,2026-04-01,2026-04-15,36.9,3690,88.34,8834,1.095208482964979,0.9789853755533444,21159
PAK,Pakistan,admin2,PK72022,Sindh,PK7012022,Badin,55,2026-04-01,2026-04-15,50.46,5046,169.03,16903,1.012437935330982,2.3249751802582406,23187
PAK,Pakistan,admin2,PK62022,Punjab,PK6362022,Vehari,55,2026-04-01,2026-04-15,8.08,808,17.93,1793,0.178501022846208,0.343905917047169,6081
PAK,Pakistan,admin2,PK62022,Punjab,PK6352022,Toba Tek Singh,55,2026-04-01,2026-04-15,3.14,314,5.680000000000001,568,0.1128234336934907,0.15769447798881686,1980
PAK,Pakistan,admin2,PK62022,Punjab,PK6342022,Sialkot,55,2026-04-01,2026-04-15,11.19,1119,32.85,3285,0.3657155908114896,0.9012902467371013,19684
PAK,Pakistan,admin2,PK62022,Punjab,PK6332022,Sheikhupura,55,2026-04-01,2026-04-15,8.07,807,17.35,1735,0.2257278699565273,0.40544044674813196,7606
PAK,Pakistan,admin2,PK62022,Punjab,PK6322022,Sargodha,55,2026-04-01,2026-04-15,16.35,1635,71.45,7145,0.3461959173867144,1.0323381179688675,28213
PAK,Pakistan,admin2,PK62022,Punjab,PK6312022,Sahiwal,55,2026-04-01,2026-04-15,2.53,253,7.93,793,0.0809444627262511,0.21083352669601382,4556
PAK,Pakistan,admin2,PK62022,Punjab,PK6302022,Rawalpindi,55,2026-04-01,2026-04-15,1.52,152,30.490000000000002,3049,0.0667982997592314,0.4854387299207824,5412
PAK,Pakistan,admin2,PK62022,Punjab,PK6292022,Rajanpur,55,2026-04-01,2026-04-15,94.21,9421,265.84,26584,1.7214611009968916,1.8380962605587594,25805
PAK,Pakistan,admin2,PK62022,Punjab,PK6282022,Rahim Yar Khan,55,2026-04-01,2026-04-15,52.62,5262,207.17000000000002,20717,0.7559052360812817,1.4129141989519738,23299
PAK,Pakistan,admin2,PK62022,Punjab,PK6272022,Pakpattan,55,2026-04-01,2026-04-15,21.24,2124,36.42,3642,0.7182151887116974,1.086607996082778,13033
